txn_id,status,is_fraud,channel,amount
1,pending,0,in_store,259.25
2,completed,0,online,259.5
3,failed,0,online,178.5
4,pending,0,online,174.73
5,pending,0,online,156.54
6,failed,0,in_store,10.87
7,completed,0,online,125.9
8,failed,0,online,213.34
9,completed,0,online,225.66
10,completed,0,online,121.83
11,completed,0,online,191.38
12,completed,0,online,77.06
13,completed,0,in_store,214.39
14,pending,0,in_store,52.74
15,pending,0,online,199.7
16,pending,0,online,22.59
17,failed,0,online,53.38
18,completed,0,online,258.05
19,pending,0,online,265.19
20,completed,0,in_store,237.93
21,completed,0,online,125.22
22,pending,0,online,192.32
23,pending,0,in_store,249.01
24,completed,0,online,35.9
25,completed,0,in_store,37.05
26,completed,0,online,200.83
27,completed,0,online,216.48
28,failed,0,online,255.5
29,completed,0,online,269.82
30,pending,0,in_store,257.56
31,completed,0,in_store,281.68
32,failed,0,online,124.79
33,pending,0,online,33.02
34,failed,1,in_store,218.39
35,completed,0,online,192.27
36,pending,0,online,257.61
37,completed,0,in_store,27.14
38,pending,0,online,287.17
39,pending,0,in_store,37.65
40,completed,0,in_store,256.7
41,pending,0,in_store,93.18
42,completed,0,in_store,204.29
43,failed,0,online,211.94
44,failed,0,online,162.49
45,pending,0,online,174.55
46,completed,0,online,65.22
47,pending,0,in_store,267.88
48,completed,0,online,182.69
49,pending,0,in_store,7.66
50,completed,0,online,175.9
51,completed,0,online,190.08
52,pending,0,online,129.8
53,completed,0,online,230.52
54,completed,0,online,11.37
55,pending,1,online,95.56
56,completed,0,in_store,108.82
57,pending,0,online,124.66
58,pending,0,online,241.8
59,completed,0,online,126.23
60,completed,0,online,283.4
61,completed,0,in_store,176.55
62,completed,0,online,91.43
63,completed,0,online,90.55
64,pending,1,online,200.55
65,completed,0,online,101.37
66,completed,0,online,122.55
67,completed,0,online,123.06
68,completed,0,online,252.76
69,pending,0,online,110.78
70,completed,0,online,169.1
71,pending,0,online,263.11
72,completed,0,online,95.01
73,pending,0,online,187.56
74,completed,0,in_store,298.48
75,completed,0,online,9.3
76,completed,0,online,274.98
77,completed,1,online,205.5
78,failed,0,in_store,123.97
79,failed,0,in_store,109.99
80,completed,0,online,91.37
81,failed,0,in_store,61.52
82,pending,0,in_store,254.18
83,completed,0,online,173.0
84,pending,0,in_store,274.12
85,pending,0,online,52.79
86,completed,0,online,38.33
87,completed,0,online,267.12
88,completed,0,online,276.09
89,completed,0,online,182.43
90,completed,0,online,85.91
91,completed,0,in_store,271.2
92,completed,0,online,93.76
93,completed,1,in_store,42.18
94,completed,0,in_store,181.22
95,completed,0,online,280.07
96,completed,0,online,41.84
97,completed,1,online,279.9
98,completed,0,online,238.97
99,completed,0,online,270.73
100,completed,0,in_store,236.71
101,completed,0,in_store,133.94
102,completed,0,online,71.44
103,completed,1,online,89.8
104,completed,0,online,54.04
105,pending,0,online,5.98
106,completed,0,in_store,59.53
107,completed,0,in_store,234.84
108,failed,0,in_store,47.24
109,pending,0,online,130.55
110,pending,0,online,220.79
111,pending,0,online,215.15
112,completed,0,online,58.38
113,completed,0,in_store,253.3
114,completed,0,online,124.79
115,completed,0,online,113.63
116,completed,0,online,104.12
117,pending,0,online,112.17
118,completed,0,online,138.96
119,completed,0,in_store,113.01
120,failed,0,online,92.78
121,failed,0,in_store,256.69
122,completed,0,online,110.14
123,pending,0,online,63.83
124,pending,0,online,15.81
125,pending,0,online,13.93
126,pending,0,online,129.28
127,completed,0,in_store,64.31
128,pending,0,in_store,294.22
129,completed,0,online,144.96
130,completed,0,in_store,25.15
131,pending,0,online,145.19
132,pending,1,online,59.27
133,completed,0,online,41.06
134,completed,0,online,250.36
135,completed,0,in_store,71.8
136,pending,0,online,34.95
137,completed,0,online,130.33
138,completed,0,online,261.46
139,failed,0,online,135.59
140,completed,0,in_store,243.68
141,completed,0,online,71.22
142,completed,0,in_store,183.36
143,completed,0,in_store,239.19
144,completed,0,online,184.83
145,completed,0,in_store,15.89
146,pending,1,in_store,105.38
147,completed,0,online,272.25
148,failed,0,in_store,105.41
149,completed,0,online,180.36
150,completed,0,online,55.21
151,completed,0,in_store,281.68
152,completed,0,in_store,226.57
153,failed,0,in_store,218.64
154,completed,0,online,170.51
155,failed,0,online,101.94
156,completed,0,in_store,158.37
157,failed,0,online,253.56
158,completed,0,online,135.13
159,failed,0,online,184.71
160,pending,0,online,246.9
161,pending,0,online,193.59
162,completed,0,online,141.33
163,failed,0,in_store,161.09
164,completed,0,online,244.21
165,completed,0,online,151.42
166,pending,0,online,294.7
167,completed,0,in_store,69.2
168,pending,1,online,105.81
169,pending,0,online,233.73
170,pending,0,online,251.12
171,completed,0,in_store,8.35
172,failed,0,in_store,198.72
173,failed,0,in_store,190.93
174,completed,0,online,143.06
175,completed,1,online,170.28
176,completed,0,in_store,66.28
177,completed,0,online,190.26
178,failed,0,online,163.85
179,failed,1,online,288.55
180,failed,1,online,62.57
181,completed,0,in_store,224.6
182,completed,0,in_store,28.55
183,pending,0,online,256.59
184,completed,0,online,195.66
185,completed,0,online,218.43
186,completed,1,in_store,161.68
187,completed,0,online,216.57
188,completed,1,online,264.4
189,failed,0,online,65.94
190,completed,0,in_store,239.55
191,completed,0,online,228.47
192,completed,0,online,69.02
193,failed,0,in_store,123.28
194,completed,0,online,240.55
195,completed,0,in_store,103.49
196,failed,0,online,31.65
197,completed,0,online,201.37
198,completed,0,online,247.02
199,pending,0,in_store,59.85
200,completed,0,online,117.05
201,failed,0,in_store,17.56
202,pending,0,online,144.1
203,completed,0,online,165.69
204,failed,0,in_store,116.57
205,completed,1,online,57.24
206,completed,0,online,25.26
207,completed,0,online,15.31
208,failed,0,online,287.88
209,completed,0,online,162.95
210,completed,0,online,249.33
211,completed,1,online,16.05
212,pending,0,online,44.93
213,completed,0,online,47.1
214,completed,0,online,280.42
215,completed,0,online,191.96
216,completed,0,online,161.02
217,pending,0,online,239.3
218,pending,0,online,174.66
219,pending,1,online,81.74
220,pending,0,in_store,189.88
221,completed,0,in_store,56.24
222,failed,0,online,281.85
223,failed,0,online,261.99
224,completed,0,online,257.43
225,failed,0,online,163.6
226,completed,0,online,41.37
227,completed,0,online,194.33
228,pending,0,in_store,295.61
229,failed,0,online,252.55
230,failed,0,in_store,230.87
231,completed,1,online,179.24
232,completed,0,online,150.56
233,completed,0,in_store,225.49
234,completed,0,in_store,74.04
235,failed,0,online,137.6
236,completed,0,online,216.65
237,pending,0,online,282.91
238,pending,0,in_store,262.64
239,completed,0,online,42.68
240,completed,0,online,291.12
241,completed,0,in_store,254.98
242,completed,0,online,185.31
243,completed,0,online,141.24
244,failed,1,online,24.55
245,failed,0,online,208.39
246,completed,0,online,171.68
247,completed,0,in_store,75.86
248,completed,0,online,188.31
249,completed,0,online,286.65
250,completed,0,in_store,86.73
251,completed,0,in_store,220.41
252,completed,0,in_store,119.98
253,pending,0,online,65.38
254,completed,0,online,253.38
255,completed,0,online,9.13
256,failed,0,in_store,203.67
257,completed,0,online,162.4
258,completed,0,online,95.12
259,completed,0,in_store,117.54
260,completed,0,online,166.12
261,pending,0,online,21.55
262,failed,0,online,14.38
263,completed,0,online,268.51
264,completed,0,online,173.52
265,pending,0,in_store,14.2
266,pending,0,in_store,97.33
267,pending,0,online,45.29
268,pending,0,online,12.67
269,pending,0,online,31.4
270,completed,0,in_store,138.18
271,completed,0,online,164.46
272,completed,0,in_store,155.25
273,pending,0,online,151.21
274,completed,0,online,98.28
275,failed,0,online,224.33
276,pending,0,online,173.0
277,completed,0,online,251.1
278,completed,0,online,125.08
279,completed,0,online,229.07
280,completed,0,online,111.36
281,completed,0,online,47.5
282,pending,0,online,227.82
283,failed,0,in_store,220.48
284,completed,0,in_store,247.87
285,pending,0,online,115.87
286,failed,1,online,129.1
287,completed,0,online,71.27
288,completed,0,online,197.21
289,completed,0,in_store,169.37
290,failed,0,online,84.75
291,failed,0,online,177.38
292,completed,0,online,43.77
293,failed,0,online,99.3
294,pending,0,online,55.37
295,completed,0,in_store,212.42
296,pending,0,online,80.31
297,pending,0,in_store,129.28
298,completed,0,online,272.82
299,completed,0,online,139.58
300,failed,1,online,134.3
301,completed,0,in_store,37.31
302,completed,1,in_store,254.68
303,completed,0,online,17.87
304,failed,0,in_store,230.41
305,failed,0,online,120.95
306,pending,0,online,250.91
307,completed,0,online,164.4
308,completed,0,online,283.64
309,completed,1,online,71.08
310,completed,0,online,85.92
311,failed,0,online,54.61
312,completed,0,in_store,219.42
313,failed,0,online,260.53
314,completed,0,online,264.2
315,completed,0,online,11.08
316,completed,0,online,239.02
317,completed,0,online,75.59
318,completed,0,online,157.27
319,failed,0,in_store,299.79
320,completed,0,online,240.5
321,completed,1,online,172.48
322,completed,0,online,45.96
323,completed,0,in_store,250.34
324,failed,0,in_store,219.39
325,pending,0,online,119.52
326,failed,0,online,93.56
327,completed,0,in_store,130.45
328,completed,0,online,16.99
329,pending,1,in_store,156.94
330,completed,0,online,40.03
331,completed,0,online,29.33
332,completed,0,online,32.28
333,pending,0,online,209.82
334,completed,0,in_store,174.13
335,completed,0,online,60.79
336,failed,0,online,25.18
337,failed,0,online,86.93
338,completed,0,online,115.64
339,pending,0,online,88.6
340,completed,0,online,132.42
341,completed,0,online,22.28
342,pending,0,in_store,9.73
343,failed,0,online,273.52
344,completed,0,online,197.52
345,pending,0,in_store,90.25
346,completed,1,online,14.94
347,completed,0,online,82.31
348,completed,0,online,72.08
349,pending,0,online,126.42
350,completed,0,online,298.75
351,completed,1,online,52.04
352,failed,0,in_store,285.37
353,completed,0,online,166.94
354,completed,0,in_store,57.12
355,completed,0,online,171.52
356,completed,0,online,265.59
357,pending,0,online,69.62
358,completed,0,online,20.87
359,completed,0,online,47.28
360,completed,0,in_store,264.3
361,completed,0,online,172.5
362,pending,0,online,25.25
363,completed,0,in_store,271.81
364,failed,0,online,8.4
365,completed,0,in_store,100.91
366,failed,0,in_store,274.47
367,completed,0,online,218.99
368,completed,0,in_store,57.42
369,completed,0,online,296.33
370,completed,0,online,248.44
371,pending,1,online,103.2
372,pending,1,in_store,224.34
373,completed,0,in_store,96.19
374,completed,0,online,108.17
375,completed,0,online,299.76
376,completed,0,online,228.27
377,completed,0,online,202.11
378,completed,0,online,155.27
379,failed,0,online,280.81
380,completed,0,online,257.5
381,completed,0,in_store,264.4
382,completed,0,online,135.39
383,completed,0,in_store,91.57
384,completed,0,in_store,52.09
385,completed,0,online,9.44
386,completed,0,online,94.48
387,completed,0,online,42.04
388,completed,0,online,95.74
389,completed,0,in_store,227.4
390,completed,0,online,30.63
391,completed,0,online,183.36
392,completed,0,online,80.75
393,completed,0,online,199.68
394,completed,0,in_store,246.42
395,completed,0,in_store,214.53
396,completed,0,online,167.38
397,completed,0,online,5.74
398,completed,0,online,71.48
399,completed,0,online,262.96
400,completed,0,in_store,24.11
401,pending,0,online,163.37
402,completed,0,online,260.52
403,completed,1,online,297.92
404,completed,0,online,96.75
405,completed,0,online,241.63
406,completed,0,online,213.93
407,pending,0,in_store,285.56
408,completed,0,online,46.97
409,pending,0,online,118.59
410,completed,0,online,23.43
411,completed,0,in_store,136.78
412,pending,0,in_store,274.16
413,completed,1,online,14.57
414,completed,1,online,244.92
415,failed,0,in_store,151.43
416,completed,0,in_store,197.41
417,failed,0,in_store,35.96
418,completed,0,online,229.37
419,failed,0,in_store,186.97
420,completed,0,in_store,154.66
421,pending,0,online,254.39
422,pending,0,online,260.86
423,pending,0,online,27.73
424,completed,0,online,104.62
425,completed,0,online,144.4
426,pending,0,in_store,260.83
427,failed,0,online,144.14
