sensor_id,lat,lon,temperature,pressure,humidity
1,-25.573715,168.676392,19.0383,911.783,93.3266
2,-51.900362,-63.558665,50.2886,974.4815,20.9484
3,-12.634668,-80.913609,-27.4214,1039.692,89.0032
4,-58.453463,82.099492,28.8426,908.7172,67.7655
5,-30.130314,-64.326212,54.3047,1098.1111,9.963
6,52.574937,71.325385,-30.3212,967.3802,57.3355
7,13.442673,124.239205,34.0561,1014.1027,17.2857
8,-41.761721,38.731518,3.9424,986.675,33.8072
9,73.668964,-101.981496,41.012,923.6163,8.626
10,26.260362,96.169446,-19.5375,1009.5871,67.0579
11,-62.792638,-52.151257,13.7295,979.3824,87.6414
12,-41.847222,117.544966,30.8745,924.2235,57.9545
13,58.179187,55.557063,-6.2069,962.31,85.9189
14,8.175611,134.893455,-30.0497,1089.6497,29.4252
15,87.456674,19.093379,55.0341,975.8775,11.8216
16,-47.782137,-174.785989,-27.7885,941.7957,83.2687
17,69.306589,-53.965648,46.4829,972.5046,62.7066
18,17.792128,153.697721,-17.6345,939.7665,10.726
19,-68.899025,109.193614,40.8526,914.9004,72.2425
20,64.631972,-68.288735,-14.4853,1033.2736,37.9574
21,-20.119479,118.13834,-28.8741,940.2657,69.447
22,-22.114615,-115.799543,-6.5386,1018.4947,95.4358
23,-43.583536,94.702131,-39.7788,1067.9161,29.1442
24,41.010709,70.398173,-39.0646,1043.7299,55.321
25,17.274067,-78.702229,53.4004,974.4551,61.908
26,-13.38119,-157.803489,7.9533,1003.144,92.1423
27,63.057514,-112.012722,-16.4435,1092.1404,24.4562
28,-12.846643,43.880833,-33.699,988.6202,11.1056
29,-84.709236,-178.842819,26.3192,977.3044,53.5293
30,-29.501097,-61.949573,11.066,947.7518,42.579
31,44.287393,147.166519,45.8534,975.1416,14.0895
32,70.527939,64.726999,36.7283,997.2968,0.2129
33,-29.146844,-7.454991,-19.4269,1040.4885,59.6387
34,-3.377317,-134.169383,-14.9873,1036.5492,52.8842
35,-20.454083,106.217449,-1.3247,980.7656,19.3776
36,74.296381,-103.063287,20.185,980.8789,17.8521
37,3.431896,-91.065051,14.4821,991.7773,30.7743
38,-85.840562,60.698422,-21.8417,957.4686,84.7701
39,-25.454355,116.980394,34.2483,1079.1115,22.734
40,-43.27734,143.610125,58.5646,1002.3483,74.5301
41,-63.163014,106.16251,48.6886,924.0804,35.1218
42,-14.998621,87.536398,35.9575,976.3872,29.3875
43,-58.382263,56.779944,-11.8404,992.0603,91.4368
44,-20.772137,15.467197,-19.4364,967.4436,52.2519
45,78.159816,42.443586,18.8889,931.052,86.505
46,-38.884855,-132.951175,49.0346,1054.9185,40.5938
47,3.067271,-102.499784,19.1934,1018.1083,22.2911
48,59.18318,157.10061,22.1645,905.302,69.9885
49,66.991477,-109.319736,30.3466,946.0227,10.965
50,-65.28274,-73.558304,52.237,1049.0071,68.7444
51,-5.266262,-52.244972,-14.3571,971.9794,71.6624
52,37.756107,-174.651584,-20.7896,924.3577,63.5732
53,76.393943,-31.899921,49.6655,977.1075,58.2497
54,-4.532955,117.464443,47.7044,1085.226,11.3962
55,23.620887,38.201195,1.2247,964.4301,90.9421
56,3.543988,175.726911,-27.0042,999.0937,56.5963
57,40.856944,37.54222,55.1693,924.3295,74.9028
58,-42.607117,118.278958,-17.269,959.4992,67.9243
59,-5.269397,28.240944,-28.0637,1000.4947,28.3356
